"d_v_at_id","age","age_pattern"
3,0,0.0152251002597596
3,1,0.0122930473886166
3,2,0.0101049914009654
3,3,0.00845183147896774
3,4,0.00718895373276939
3,5,0.00621501265261256
3,6,0.00545809769855831
3,7,0.00486659317892538
3,8,0.00440306119285615
3,9,0.00404009735070853
3,10,0.00375749022889429
3,11,0.00354025301396434
3,12,0.00337724559809833
3,13,0.00326020102491309
3,14,0.00318303194720195
3,15,0.00314133308543853
3,16,0.00313202227966115
3,17,0.00315308044300271
3,18,0.00320336261694036
3,19,0.00328246035822668
3,20,0.00339060112391015
3,21,0.00352857399189416
3,22,0.00369767350610006
3,23,0.00389965503187342
3,24,0.00413669599629308
3,25,0.00441135794260893
3,26,0.00472654457544575
3,27,0.00508545101503043
3,28,0.00549149940416432
3,29,0.0059482559092975
3,30,0.00645932412140715
3,31,0.0070282099991034
3,32,0.00765815392433581
3,33,0.00835192629092069
3,34,0.00911158445461897
3,35,0.00993819097257407
3,36,0.0108314959595549
3,37,0.0117895901532551
3,38,0.0128085399007549
3,39,0.0138820206349215
3,40,0.0150009712427762
3,41,0.0161532976068178
3,42,0.0173236589074941
3,43,0.0184933742126379
3,44,0.0196404885073812
3,45,0.0207400356309746
3,46,0.0217667616033913
3,47,0.0227033224868965
3,48,0.0235355845753688
3,49,0.0242509767581232
3,50,0.0248388139570381
3,51,0.0252905658909154
3,52,0.0256000617146354
3,53,0.0257636238576768
3,54,0.0257801274259956
3,55,0.0256509846641498
3,56,0.0253800570324398
3,57,0.0249735002796165
3,58,0.0244395503491578
3,59,0.0237882599384106
3,60,0.0230311969606776
3,61,0.022181117002158
3,62,0.0212516221158201
3,63,0.0202568179832085
3,64,0.0192109806618798
3,65,0.018128242902078
3,66,0.0170223084584054
3,67,0.0159062010458106
3,68,0.0147920527005585
3,69,0.0136909344071068
3,70,0.012612730031609
3,71,0.0115660529382098
3,72,0.010558203214384
3,73,0.00959516223698332
3,74,0.00868162039387224
3,75,0.00782103314251988
3,76,0.00701570022718578
3,77,0.00626686276863207
3,78,0.0055748130535718
3,79,0.00493901214809129
3,80,0.00435821089960539
3,81,0.00383057043450585
3,82,0.00335377886423959
3,83,0.00292516154527611
3,84,0.00254178286721911
3,85,0.00220053814262892
3,86,0.00189823472224739
3,87,0.00163166194632831
3,88,0.00139764995816535
3,89,0.00119311774597869
4,0,0.0505014269672432
4,1,0.0476503992822188
4,2,0.0441091076053428
4,3,0.0402052597801607
4,4,0.0362179936769499
4,5,0.0323628574549343
4,6,0.0287901766007678
4,7,0.0255923894003806
4,8,0.0228160479065924
4,9,0.0204751515356959
4,10,0.0185637191701017
4,11,0.0170666411375638
4,12,0.0159687295610333
4,13,0.0152625099045117
4,14,0.0149557733901896
4,15,0.0150804103386091
4,16,0.0157048158384481
4,17,0.0169536020417043
4,18,0.0189943675137687
4,19,0.0218960906156074
4,20,0.0256839977990804
